,Price,Year,Kilometer,Fuel Type,No. of Owner(s),Insurance,Registration type,Engine,Mileage (ARAI),Drivetrain,Turbocharger/Supercharger,Length,Width,Height,Wheelbase,Doors,Seating Capacity,No of Seating Rows,Front Brake Type,Rear Brake Type,Steering Type,Transmission_Type,Cruise_Control,ABS,Power_Windows,Sunroof,Rear_Wiper,Four_Wheel_Drive,Air_Conditioner,Steering_Adjustment,Heater,Parking_Sensors,Instrument_Cluster,Steering_controls,Display,Gears,Mileage,Power_bhp,Torque_Nm
0,2650000,2015,96000,Diesel,Second,Comprehensive,Individual,2967.0,12.07,AWD ,Yes,5089,1983,1737,3002,5.0,7.0,3.0,Disc ,Disc,Power,Automatic,True,True,True,True,True,True,True,True,True,True,True,True,True,Automatic,12.07,241.0,550.0
1,560000,2018,44350,Petrol,Second,Not Available,Individual,1197.0,18.6,FWD ,No ,3985,1734,1505,2570,5.0,5.0,2.0,Disc ,Drum ,Power,Manual,False,False,True,False,False,False,True,False,True,False,True,False,False,5 Gears,18.6,82.0,115.0
2,400000,2014,85000,Diesel,First,Third Party,Individual,1248.0,23.4,FWD ,No ,3995,1695,1555,2430,4.0,5.0,2.0,Disc ,Drum ,Power,Manual,False,False,True,False,False,False,True,True,True,False,False,False,False,5 Gears,23.4,74.0,190.0
3,1015000,2021,26982,Petrol,First,Third Party,Individual,1462.0,17.0,FWD ,No ,3995,1790,1640,2500,5.0,5.0,2.0,Ventilated Disc ,Drum ,Power,Manual,True,True,True,False,True,False,True,True,True,True,True,True,True,5 Gears,17.0,103.0,138.0
4,990000,2014,110700,Diesel,Second,Not Available,Individual,1968.0,18.66,FWD ,Yes,4861,1864,1483,2841,4.0,5.0,2.0,Disc ,Disc,Power,Automatic,True,True,True,True,False,False,True,True,True,True,True,True,True,Automatic,18.66,174.0,350.0
5,270000,2017,37000,Petrol,First,Not Available,Individual,799.0,25.17,FWD ,No ,3679,1579,1478,2422,5.0,5.0,2.0,Disc ,Drum ,Power,Manual,False,True,True,False,False,False,True,False,True,False,True,False,True,5 Gears,25.17,53.0,72.0
6,380000,2014,64000,Petrol,First,Comprehensive,Individual,1197.0,19.1,FWD ,No ,3995,1660,1520,2425,4.0,5.0,2.0,Disc ,Drum ,Power,Manual,False,True,True,False,False,False,True,True,True,True,True,True,False,5 Gears,19.1,81.0,114.0
7,1050000,2020,63325,Diesel,First,Comprehensive,Individual,1497.0,20.0,FWD ,Yes,3995,1821,1627,2600,5.0,5.0,2.0,Disc ,Disc,Power,Manual,True,True,True,True,True,False,True,True,True,True,True,True,True,6 Gears,20.0,115.0,300.0
8,825000,2019,42315,Diesel,First,Comprehensive,Individual,1498.0,21.7,FWD ,Yes,3998,1765,1647,2519,5.0,5.0,2.0,Ventilated Disc ,Drum ,Power,Manual,False,True,True,True,True,False,True,True,True,True,True,True,True,5 Gears,21.7,99.0,215.0
9,780000,2019,62226,Diesel,First,Comprehensive,Individual,1498.0,23.0,FWD ,Yes,3998,1765,1647,2519,5.0,5.0,2.0,Disc ,Drum ,Power,Manual,False,True,True,False,True,False,True,True,True,True,True,True,True,5 Gears,23.0,99.0,205.0
